City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
292,Constitucion,CL,63.86,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
294,Soyo,AO,77.63,overcast clouds,-6.1349,12.3689,Hotel Mpampa
296,Mangochi,MW,77.85,clear sky,-14.4782,35.2645,Fort Johnstone Hotel
301,Kibondo,TZ,65.43,broken clouds,-3.5864,30.7203,Pongezi Annex Guest House
304,Ballina,AU,61.79,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
307,Mahon,ES,70.36,broken clouds,39.8885,4.2658,ARTIEM Capri
310,Avera,US,61.72,overcast clouds,33.194,-82.5271,
311,Daniel Flores,CR,77.77,overcast clouds,9.3355,-83.6694,Hotel San Isidro
312,Praia Da Vitoria,PT,70.75,overcast clouds,38.7333,-27.0667,Hotel Branco I
313,Anderson,US,62.15,light rain,34.5334,-82.6499,The Bleckley Inn
314,Vila Franca Do Campo,PT,73.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
318,Garhakota,IN,62.71,clear sky,23.7667,79.15,Shri Madan Vatika
320,Pouembout,NC,77.43,clear sky,-21.1333,164.9,Camping de Tipenga
322,Kandrian,PG,78.28,moderate rain,-6.2167,149.55,Kandrian Station
325,Mormugao,IN,79.88,overcast clouds,15.4,73.8,Coconut Creek Resort
329,Nantucket,US,62.96,overcast clouds,41.2835,-70.0995,Jared Coffin House
330,Ruangwa,TZ,69.46,clear sky,-10.0667,38.9333,Pivava lodge
331,Mount Isa,AU,74.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
333,Maracas,BR,69.58,scattered clouds,-13.4411,-40.4308,Pousada Vale Aprazível
334,Nsoko,SZ,64.58,overcast clouds,-27.0333,31.95,
335,Pyu,MM,72.93,overcast clouds,18.4833,96.4333,Mr Bo Bo
336,Sabha,LY,70.45,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
337,Lukulu,ZM,76.26,scattered clouds,-14.3707,23.242,Ruth Guest House
339,College Station,US,78.12,clear sky,30.628,-96.3344,Homewood Suites by Hilton College Station
340,Kimberley,ZA,65.21,clear sky,-28.7323,24.7623,Welgewandel Guesthouse
343,Iranshahr,IR,74.19,clear sky,27.2025,60.6848,نیک سرشت
344,Caxito,AO,76.8,overcast clouds,-8.5785,13.6643,
350,Kollam,IN,78.67,light rain,8.8833,76.6,Nani Hotels and Resorts
351,Rosarito,MX,79.93,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
354,Abu Samrah,SY,68.09,broken clouds,35.3029,37.1841,
355,Pandan,PH,79.72,overcast clouds,14.0453,124.1694,Bonifacio Lodge
357,Bethalto,US,62.94,broken clouds,38.9092,-90.0407,Town & Country Lakes
359,Muros,ES,64.24,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
362,Ambunti,PG,74.7,overcast clouds,-4.2365,142.8448,Ambunti Lodge
363,Karratha,AU,72.07,clear sky,-20.7377,116.8463,ibis Styles Karratha
365,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
373,Ndola,ZM,73.62,overcast clouds,-12.9587,28.6366,Chabanga Lodge iSpot
374,Dolores,AR,76.24,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
377,Portland,US,63.23,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
380,Pakxan,LA,70.38,scattered clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
382,Beira,MZ,75.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
383,Sorong,ID,78.04,scattered clouds,-0.8833,131.25,waigo splash hotel
388,Valentin Gomez Farias,MX,77.61,clear sky,28.2167,-106.5833,
389,Fuling,CN,61.23,light rain,29.7022,107.3919,Yingbin Hostel
396,Yeppoon,AU,74.98,few clouds,-23.1333,150.7333,Villa Mar Colina
397,Haimen,CN,71.19,light rain,23.1935,116.6142,Jinghao Business Hotel
398,Nouakchott,MR,78.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
400,Washougal,US,63.09,few clouds,45.5826,-122.3534,Camas Boutique Hotel
401,Kota Bahru,MY,74.5,overcast clouds,6.1333,102.2386,Grand Riverview Hotel
403,Boende,CD,73.54,overcast clouds,-0.2167,20.8667,
405,Kaeo,NZ,65.32,light rain,-35.1,173.7833,Bushido Lodge
406,Ahipara,NZ,62.13,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
408,Msanga,TZ,72.61,overcast clouds,-6.05,36.0333,
410,Aborlan,PH,79.03,moderate rain,9.4352,118.5492,Kevina Transient House
413,Omboue,GA,76.75,moderate rain,-1.5746,9.2618,Hotel Olako
415,Jibuti,DJ,69.22,broken clouds,11.5,42.5,Orchid Main Camp Goubet
416,Lata,PT,67.93,light rain,40.1629,-8.3327,Casa Maquia
417,Pombas,CV,76.78,overcast clouds,17.1503,-25.0201,Paul Paradis
422,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
423,Riyadh,SA,73.54,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
424,Kingaroy,AU,66.58,few clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
428,Burlington,US,65.71,scattered clouds,39.8835,-74.6413,Delanco Camp
434,Byron Bay,AU,69.06,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
436,Tshikapa,CD,71.76,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
437,Tangerang,ID,78.71,haze,-6.1781,106.63,Novotel Tangerang
438,Hit,IQ,79.43,overcast clouds,33.6416,42.8251,صالون زيرو
440,Cururupu,BR,77.36,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
443,Half Moon Bay,US,73.2,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
447,Kabanjahe,ID,62.89,heavy intensity rain,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
