City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
193,Gombe,10.2897,11.1673,81.75,28,100,2.46,NG,2021-10-30 21:08:44,overcast clouds
194,Quatre Cocos,-20.2078,57.7625,70.09,78,38,7.27,MU,2021-10-30 21:08:44,scattered clouds
195,Richards Bay,-28.783,32.0377,63.21,86,70,7.34,ZA,2021-10-30 21:00:37,broken clouds
196,Nyurba,63.2842,118.3319,22.6,93,100,8.48,RU,2021-10-30 20:57:24,light snow
197,Butaritari,3.0707,172.7902,82.44,72,29,6.11,KI,2021-10-30 21:08:45,scattered clouds
198,Araouane,18.9048,-3.5265,87.64,20,89,11.52,ML,2021-10-30 21:08:46,overcast clouds
199,Atuona,-9.8,-139.0333,78.08,66,4,16.06,PF,2021-10-30 21:08:12,clear sky
200,Bud,39.447,-86.1758,56.7,87,100,10.13,US,2021-10-30 21:08:46,overcast clouds
201,Sitka,57.0531,-135.33,48.09,61,75,12.66,US,2021-10-30 21:08:47,broken clouds
202,Alihe,50.5667,123.7167,25.02,50,0,1.66,CN,2021-10-30 21:08:47,clear sky
203,Honningsvag,70.9821,25.9704,41.58,64,100,8.39,NO,2021-10-30 21:08:48,overcast clouds
204,Salalah,17.0151,54.0924,78.89,65,0,4.61,OM,2021-10-30 21:08:48,clear sky
205,Angouleme,45.65,0.15,58.03,88,0,3.44,FR,2021-10-30 21:08:49,clear sky
206,Eutin,54.1333,10.6167,53.78,80,100,14.07,DE,2021-10-30 21:08:49,overcast clouds
207,Socorro,31.6546,-106.3033,83.07,14,1,10.36,US,2021-10-30 21:08:50,clear sky
208,Beringovskiy,63.05,179.3167,5.79,97,97,17.85,RU,2021-10-30 21:08:50,overcast clouds
209,Hinton,53.4001,-117.5857,41.11,25,1,3.78,CA,2021-10-30 21:08:51,clear sky
210,Pedra,-8.4969,-36.9408,79.81,43,26,9.13,BR,2021-10-30 21:08:51,scattered clouds
211,Lorengau,-2.0226,147.2712,82.44,79,89,6.8,PG,2021-10-30 21:08:52,overcast clouds
212,Nacozari,25.3366,-108.2574,91.11,50,0,10.33,MX,2021-10-30 21:08:52,clear sky
213,Petropavlovsk-Kamchatskiy,53.0452,158.6483,28.99,74,40,4.47,RU,2021-10-30 21:08:53,scattered clouds
214,Claveria,18.6074,121.0832,76.59,81,79,11.18,PH,2021-10-30 21:08:53,broken clouds
215,Bathsheba,13.2167,-59.5167,83.01,69,40,13.8,BB,2021-10-30 21:08:54,scattered clouds
216,Hamilton,39.1834,-84.5333,57.42,94,90,1.01,US,2021-10-30 21:07:35,mist
217,Payson,40.0444,-111.7321,70.0,45,40,5.75,US,2021-10-30 21:04:49,scattered clouds
218,Obo,5.3998,26.4869,69.17,94,79,1.5,CF,2021-10-30 21:08:55,light rain
219,Terra Nova,-12.3667,-40.6667,77.43,56,18,8.61,BR,2021-10-30 21:07:51,few clouds
220,Praia,14.9215,-23.5087,77.54,83,0,10.36,CV,2021-10-30 21:08:55,clear sky
221,San Andres,12.5847,-81.7006,83.53,74,82,13.31,CO,2021-10-30 21:08:56,broken clouds
222,Thompson,55.7435,-97.8558,37.56,75,90,11.5,CA,2021-10-30 21:08:56,overcast clouds
223,Khatanga,71.9667,102.5,-6.5,100,73,2.19,RU,2021-10-30 21:08:56,broken clouds
224,Wuwei,37.9281,102.6414,38.97,43,1,0.98,CN,2021-10-30 21:08:57,clear sky
225,Teya,60.3778,92.6267,18.41,83,99,12.82,RU,2021-10-30 21:08:57,overcast clouds
226,Ouargaye,11.5033,0.0572,86.72,28,37,3.62,BF,2021-10-30 21:08:58,scattered clouds
227,Awjilah,29.1081,21.2869,68.05,48,0,4.61,LY,2021-10-30 21:08:58,clear sky
228,Turukhansk,65.8167,87.9833,15.12,94,99,9.69,RU,2021-10-30 21:08:59,overcast clouds
229,Cagmanaba,13.055,123.2971,78.76,75,91,6.08,PH,2021-10-30 21:08:59,overcast clouds
230,Kosh-Agach,50.0,88.6667,21.92,76,100,3.2,RU,2021-10-30 21:08:59,overcast clouds
231,Dingle,10.9995,122.6711,74.57,91,98,8.23,PH,2021-10-30 21:09:00,overcast clouds
232,Katherine,-14.4667,132.2667,80.92,74,40,2.3,AU,2021-10-30 21:09:00,scattered clouds
233,Na Wa,17.4897,104.1006,70.72,91,19,4.12,TH,2021-10-30 21:09:01,few clouds
234,Suclayin,15.7568,121.5503,74.25,91,76,3.31,PH,2021-10-30 21:09:01,broken clouds
235,Severo-Yeniseyskiy,60.3725,93.0408,14.65,83,100,13.15,RU,2021-10-30 21:09:02,overcast clouds
236,Bantry,51.6833,-9.45,51.28,95,100,21.99,IE,2021-10-30 21:09:02,moderate rain
237,Katobu,-4.9408,122.5276,74.43,94,79,1.72,ID,2021-10-30 21:09:03,broken clouds
238,Mtambile,-5.3833,39.7,77.43,80,44,9.28,TZ,2021-10-30 21:09:03,scattered clouds
239,Najran,17.4924,44.1277,65.86,49,28,3.62,SA,2021-10-30 21:09:03,scattered clouds
240,Czersk,53.7959,17.9765,48.54,57,36,12.15,PL,2021-10-30 21:09:04,scattered clouds
241,Marakkanam,12.2,79.95,79.72,86,100,9.08,IN,2021-10-30 21:09:04,moderate rain
242,Sao Joao Da Barra,-21.6403,-41.0511,71.69,89,100,12.08,BR,2021-10-30 21:09:05,overcast clouds
243,Norman Wells,65.282,-126.8329,19.44,93,90,4.61,CA,2021-10-30 21:00:24,fog
244,Upernavik,72.7868,-56.1549,27.01,57,100,6.51,GL,2021-10-30 20:58:37,overcast clouds
245,Broome,42.2506,-75.833,57.16,77,90,4.0,US,2021-10-30 21:09:05,overcast clouds
246,Kutum,14.2,24.6667,75.49,16,10,10.71,SD,2021-10-30 21:09:06,clear sky
247,Vangaindrano,-23.35,47.6,69.75,85,100,3.27,MG,2021-10-30 21:09:06,light rain
248,Clyde River,70.4692,-68.5914,30.43,97,100,13.53,CA,2021-10-30 21:09:06,snow
249,Anuradhapura,8.3565,80.4173,74.37,95,100,2.91,LK,2021-10-30 21:09:07,light rain
250,Bandarbeyla,9.4942,50.8122,78.42,79,80,12.59,SO,2021-10-30 21:09:07,light rain
251,Comodoro Rivadavia,-45.8667,-67.5,51.66,58,20,6.91,AR,2021-10-30 21:09:08,few clouds
252,Makambako,-8.8453,34.823,61.52,87,74,10.74,TZ,2021-10-30 21:09:08,broken clouds
253,Kupang,-10.1667,123.5833,79.45,82,100,4.59,ID,2021-10-30 21:09:08,overcast clouds
254,Norwich,52.6278,1.2983,49.93,86,74,1.99,GB,2021-10-30 21:09:09,broken clouds
255,Touros,-5.1989,-35.4608,81.5,77,66,18.03,BR,2021-10-30 21:09:09,broken clouds
256,Beyla,8.6833,-8.6333,70.41,86,91,1.07,GN,2021-10-30 21:09:10,overcast clouds
257,Menongue,-14.6585,17.691,69.89,69,92,6.76,AO,2021-10-30 21:09:10,light rain
258,Znamenka,52.4167,41.4311,41.77,87,12,7.02,RU,2021-10-30 21:09:10,few clouds
259,Rocha,-34.4833,-54.3333,70.21,80,100,9.53,UY,2021-10-30 21:07:26,overcast clouds
260,Rongcheng,30.634,117.8517,55.92,75,65,2.93,CN,2021-10-30 21:09:11,light rain
